Usuario|comentario|tipo emocion
Tracy|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
William|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Chloe|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
John|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
Katrina|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
Karen|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Mary|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Thomas|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Kathryn|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Dustin|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Kimberly|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
Austin|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Laura|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Kristen|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Anna|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
Heather|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Jennifer|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Larry|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Brittany|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
Deanna|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Brian|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Christina|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Crystal|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Samuel|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Natalie|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Richard|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Andrea|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Heidi|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Steven|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Elizabeth|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Theresa|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Jacob|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Kelly|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
Tina|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Jeffrey|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Bryan|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Danielle|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Shelby|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
David|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Jake|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|enojado
Carlos|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Erica|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|pensativo
James|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Jared|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Linda|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Lauren|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Jeremiah|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Zachary|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|alegre
Amanda|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|no me gusta
Hunter|Phil Foden del Tottenham Hotspur fue expulsado por doble amarilla en el cierre de la liga.|me gusta
Shelley|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Robert|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Norma|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Ryan|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Gabriella|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Justin|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Nicole|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Abigail|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Gina|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Omar|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Mark|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Chad|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Kyle|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Dylan|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Wendy|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Kayla|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Judith|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Reginald|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Kenneth|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Anthony|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Michael|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Stanley|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Julie|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Adriana|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Benjamin|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Nicholas|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Jesse|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Troy|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
April|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Charles|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Joan|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Jessica|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Craig|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Megan|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Amy|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Molly|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Sheryl|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Caroline|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Joshua|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Jay|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Julian|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Keith|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Sally|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Barbara|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Melissa|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Katelyn|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Jerry|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Sandra|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Emily|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Brad|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Tracy|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
William|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Chloe|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
John|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Katrina|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Karen|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Mary|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Thomas|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Kathryn|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Dustin|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Kimberly|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Austin|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Laura|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Kristen|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Anna|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Heather|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Jennifer|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Larry|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Brittany|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Deanna|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Brian|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Christina|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Crystal|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Samuel|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Natalie|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Richard|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Andrea|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Heidi|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Steven|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Elizabeth|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Theresa|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Jacob|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Kelly|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Tina|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Jeffrey|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Bryan|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Danielle|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Shelby|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
David|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Jake|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
Carlos|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Erica|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|enojado
James|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Jared|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Linda|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|no me gusta
Lauren|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Jeremiah|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|alegre
Zachary|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Amanda|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|me gusta
Hunter|Mohamed Salah del Arsenal dejó todo en la cancha en el derbi de Londres.|pensativo
Shelley|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Robert|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Norma|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Ryan|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Gabriella|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Justin|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Nicole|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Abigail|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Gina|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Omar|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Mark|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Chad|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Kyle|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Dylan|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Wendy|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Kayla|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Judith|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Reginald|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Kenneth|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Anthony|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Michael|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Stanley|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Julie|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Adriana|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Benjamin|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Nicholas|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Jesse|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Troy|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
April|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Charles|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Joan|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Jessica|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Craig|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Megan|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Amy|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Molly|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Sheryl|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Caroline|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Joshua|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Jay|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Julian|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Keith|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Sally|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Barbara|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Melissa|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Katelyn|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Jerry|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Sandra|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Emily|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Brad|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Tracy|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
William|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Chloe|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
John|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Katrina|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Karen|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Mary|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Thomas|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Kathryn|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Dustin|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Kimberly|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Austin|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Laura|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Kristen|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Anna|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Heather|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Jennifer|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Larry|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Brittany|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Deanna|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Brian|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Christina|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Crystal|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Samuel|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Natalie|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Richard|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Andrea|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Heidi|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Steven|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Elizabeth|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Theresa|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Jacob|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Kelly|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Tina|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Jeffrey|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Bryan|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Danielle|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Shelby|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
David|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Jake|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Carlos|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Erica|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
James|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Jared|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Linda|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|no me gusta
Lauren|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|me gusta
Jeremiah|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Zachary|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|pensativo
Amanda|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|alegre
Hunter|Phil Foden del Manchester United ganó el partido en tiempo de descuento en el derbi de Londres.|enojado
Shelley|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Robert|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Norma|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|no me gusta
Ryan|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Gabriella|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Justin|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Nicole|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Abigail|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Gina|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Omar|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Mark|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Chad|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Kyle|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Dylan|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Wendy|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Kayla|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Judith|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|no me gusta
Reginald|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|no me gusta
Kenneth|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Anthony|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Michael|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Stanley|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Julie|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Adriana|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Benjamin|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Nicholas|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Jesse|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Troy|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
April|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Charles|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Joan|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Jessica|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Craig|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Megan|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Amy|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Molly|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Sheryl|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Caroline|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Joshua|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Jay|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|me gusta
Julian|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
Keith|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Sally|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|no me gusta
Barbara|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Melissa|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Katelyn|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Jerry|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Sandra|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|enojado
Emily|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Brad|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|pensativo
Tracy|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|no me gusta
William|Marcus Rashford del Liverpool dejó todo en la cancha con el estadio lleno.|alegre
